"fld_dim","sim","fit_model","job"
200,44,"MGCV FIXED",575
300,44,"MGCV FIXED",576
50,45,"MGCV FIXED",577
100,45,"MGCV FIXED",578
200,45,"MGCV FIXED",579
300,45,"MGCV FIXED",580
50,46,"MGCV FIXED",581
100,46,"MGCV FIXED",582
200,46,"MGCV FIXED",583
300,46,"MGCV FIXED",584
50,47,"MGCV FIXED",585
100,47,"MGCV FIXED",586
200,47,"MGCV FIXED",587
300,47,"MGCV FIXED",588
50,48,"MGCV FIXED",589
100,48,"MGCV FIXED",590
200,48,"MGCV FIXED",591
300,48,"MGCV FIXED",592
50,49,"MGCV FIXED",593
100,49,"MGCV FIXED",594
200,49,"MGCV FIXED",595
300,49,"MGCV FIXED",596
50,50,"MGCV FIXED",597
100,50,"MGCV FIXED",598
200,50,"MGCV FIXED",599
300,50,"MGCV FIXED",600
50,51,"MGCV FIXED",601
100,51,"MGCV FIXED",602
200,51,"MGCV FIXED",603
300,51,"MGCV FIXED",604
50,52,"MGCV FIXED",605
100,52,"MGCV FIXED",606
200,52,"MGCV FIXED",607
300,52,"MGCV FIXED",608
50,53,"MGCV FIXED",609
100,53,"MGCV FIXED",610
200,53,"MGCV FIXED",611
300,53,"MGCV FIXED",612
50,54,"MGCV FIXED",613
100,54,"MGCV FIXED",614
200,54,"MGCV FIXED",615
300,54,"MGCV FIXED",616
50,55,"MGCV FIXED",617
100,55,"MGCV FIXED",618
200,55,"MGCV FIXED",619
300,55,"MGCV FIXED",620
50,56,"MGCV FIXED",621
100,56,"MGCV FIXED",622
200,56,"MGCV FIXED",623
300,56,"MGCV FIXED",624
50,57,"MGCV FIXED",625
100,57,"MGCV FIXED",626
200,57,"MGCV FIXED",627
300,57,"MGCV FIXED",628
50,58,"MGCV FIXED",629
100,58,"MGCV FIXED",630
200,58,"MGCV FIXED",631
300,58,"MGCV FIXED",632
50,59,"MGCV FIXED",633
100,59,"MGCV FIXED",634
200,59,"MGCV FIXED",635
300,59,"MGCV FIXED",636
50,60,"MGCV FIXED",637
100,60,"MGCV FIXED",638
200,60,"MGCV FIXED",639
300,60,"MGCV FIXED",640
50,61,"MGCV FIXED",641
100,61,"MGCV FIXED",642
200,61,"MGCV FIXED",643
300,61,"MGCV FIXED",644
50,62,"MGCV FIXED",645
100,62,"MGCV FIXED",646
200,62,"MGCV FIXED",647
300,62,"MGCV FIXED",648
50,63,"MGCV FIXED",649
